group,trialNum,position,row,col,dist to center,quadrant,sprite image difference,reaction time,reaction time (no),correct position mentioned,late,manish continuous,psnr,psnr_bin,ssim,ssim_bin,psnr dog to alpha,psnr alpha to cat,ssim dog to alpha,,ssim alpha to cat,,manish dog to alpha,,manish alpha to cat,alpha_to_cat_similarity_group
1,29,"11,11",11,11,5.590169944,Bottom Right,m,did not see,did not see,incorrect,FALSE,0.500313,7.72330069,low,0.243319301,low,14.53998244,10.58344222,0.636649044,medium,0.48022524,medium,0.609538,medium,0.67236,medium
1,30,"5,1",5,1,7.566372975,Top Left,m,1.06,1.06,correct,FALSE,0.504358,8.963868659,medium,0.257528758,low,11.74972293,14.17658446,0.518899952,medium,0.760644914,high,0.296504,low,0.331203,low
1,31,"5,3",5,3,5.590169944,Top Left,l,0.92,0.92,correct,FALSE,0.1342,9.967776817,medium,0.331556565,low,11.66729724,18.18540653,0.585238831,medium,0.847005986,high,0.293884,low,0.236578,low
1,32,"3,14",3,14,6.264982043,Top Right,m,0.79,0.79,correct,FALSE,0.499892,8.937116676,medium,0.307539235,low,11.82424497,12.43097484,0.52331,medium,0.615030286,medium,0.6662,medium,0.656165,medium
1,33,"1,8",1,8,5.024937811,Top Left,l,1.69,1.69,correct,FALSE,0.140666,10.43548707,high,0.147774762,low,12.36143857,12.58136712,0.333545032,low,0.608577825,medium,0.198327,low,0.78928,high
1,34,"7,1",7,1,7.566372975,Bottom Left,l,1.15,1.15,correct,FALSE,0.132252,7.582976558,low,0.345801319,low,9.144453936,17.41873825,0.541548451,medium,0.866349973,high,0.213652,low,0.392083,low
1,35,"2,8",2,8,4.031128874,Top Left,m,1.29,1.29,correct,FALSE,0.496145,7.437528461,low,0.246270248,low,10.94292144,11.86846537,0.530839105,medium,0.515177493,medium,0.622473,medium,0.76804,high
1,36,"1,5",1,5,6.103277808,Top Left,l,1.56,1.56,correct,FALSE,0.136468,8.949655165,medium,0.179499017,low,14.62175838,11.68992987,0.556387383,medium,0.547019886,medium,0.417885,low,0.495363,low
1,37,"4,2",4,2,6.800735254,Top Left,l,0.77,0.77,correct,FALSE,0.132594,8.384166337,low,0.187199346,low,10.43115729,14.61057,0.474703557,medium,0.638381719,medium,0.659985,medium,0.502528,medium
1,38,"7,8",7,8,1.118033989,Bottom Left,l,0.76,0.76,correct,FALSE,0.141446,8.907897251,medium,0.196729243,low,11.71109844,15.33970314,0.519486562,medium,0.678647,medium,0.510532,medium,0.30426,low
1,39,"3,9",3,9,3.041381265,Top Right,m,1.75,1.75,correct,FALSE,0.504792,10.31849384,high,0.271206972,low,13.96853889,12.48458473,0.58159587,medium,0.615691469,medium,0.32786,low,0.308924,low
1,40,"9,13",9,13,5.408326913,Bottom Right,l,did not see,did not see,incorrect,FALSE,0.149172,8.84052,medium,0.238928625,low,11.52561954,14.22189736,0.560865373,medium,0.648101,medium,0.311128,low,0.324536,low
1,41,"9,13",9,13,5.408326913,Bottom Right,l,did not see,did not see,incorrect,FALSE,0.149172,8.84052,medium,0.238928625,low,11.52561954,14.22189736,0.560865373,medium,0.648101,medium,0.311128,low,0.324536,low
1,42,"7,1",7,1,7.566372975,Bottom Left,l,0.81,0.81,correct,FALSE,0.132252,7.582976558,low,0.345801319,low,9.144453936,17.41873825,0.541548451,medium,0.866349973,high,0.213652,low,0.392083,low
1,43,"3,15",3,15,7.158910532,Top Right,l,0.64,0.64,correct,FALSE,0.1503,9.074487,medium,0.163994237,low,9.696648316,18.86998291,0.416280813,medium,0.762278638,high,0.394223,low,0.377542,low
1,44,"5,5",5,5,3.640054945,Top Left,m,0.78,0.78,correct,FALSE,0.502465,11.24589236,high,0.273838784,low,14.15985759,13.58914319,0.562401451,medium,0.693121,medium,0.359365,low,0.346689,low
1,45,"10,13",10,13,6.020797289,Bottom Right,m,0.97,0.97,correct,FALSE,0.500591,10.06340683,high,0.298305425,low,10.13842924,19.49684594,0.474857724,medium,0.850984441,high,0.52999,medium,0.83216,high
1,46,"6,16",6,16,7.5,Bottom Right,l,0.89,0.89,correct,FALSE,0.153924,14.03396787,high,0.28624245,low,14.23714988,16.69837,0.565897576,medium,0.797867769,high,0.246366,low,0.808382,high
1,47,"3,8",3,8,3.041381265,Top Left,h,0.89,0.89,correct,FALSE,0.747077,8.87526057,medium,0.431442666,medium,13.31413275,13.01872619,0.685711,medium,0.762279553,high,0.356156,low,0.374724,low
1,48,"3,16",3,16,8.077747211,Top Right,l,1.45,1.45,correct,FALSE,0.150855,8.534351401,low,0.321445976,low,13.35129939,12.6983491,0.641644397,medium,0.723125649,high,0.322746,low,0.454032,low
1,49,"7,14",7,14,5.590169944,Bottom Right,h,1.38,1.38,correct,FALSE,0.730382,10.20810724,high,0.368456249,low,10.20322957,18.98257046,0.520062077,medium,0.858920336,high,0.657745,medium,0.844669,high
1,50,"5,13",5,13,4.609772229,Top Right,h,0.67,0.67,correct,FALSE,0.736745,11.33257586,high,0.183858439,low,12.73454577,13.35596674,0.467911418,medium,0.584303587,medium,0.405053,low,0.448635,low
1,51,"9,13",9,13,5.408326913,Bottom Right,l,did not see,did not see,incorrect,FALSE,0.149172,8.84052,medium,0.238928625,low,11.52561954,14.22189736,0.560865373,medium,0.648101,medium,0.311128,low,0.324536,low
1,52,"11,10",11,10,5.220153254,Bottom Right,h,did not see,did not see,incorrect,FALSE,0.7424,7.486701604,low,0.319743383,low,11.55579275,12.08806228,0.593751088,medium,0.661036,medium,0.472472,low,0.497795,low
1,53,"6,12",6,12,3.5,Bottom Right,m,0.77,0.77,correct,FALSE,0.500156,7.801163073,low,0.335256932,low,10.65907573,14.97632894,0.585893888,medium,0.806898182,high,0.331647,low,0.475351,low
1,54,"6,1",6,1,7.5,Bottom Left,h,0.91,0.91,correct,FALSE,0.783743,8.069105067,low,0.315587139,low,14.13795403,11.04942283,0.698799689,medium,0.520001095,medium,0.464173,low,0.492382,low
1,55,"7,1",7,1,7.566372975,Bottom Left,l,0.92,0.92,correct,FALSE,0.132252,7.582976558,low,0.345801319,low,9.144453936,17.41873825,0.541548451,medium,0.866349973,high,0.213652,low,0.392083,low
1,56,"3,7",3,7,3.354101966,Top Left,l,0.88,0.88,correct,FALSE,0.138609,7.915379776,low,0.135603743,low,15.00597891,11.34854427,0.536714869,medium,0.567697923,medium,0.350456,low,0.343107,low
1,57,"3,13",3,13,5.408326913,Top Right,l,0.7,0.7,correct,FALSE,0.148752,7.830256908,low,0.087852,low,11.31387763,14.11025248,0.462885969,medium,0.559545804,medium,0.344234,low,0.327035,low
1,58,"4,7",4,7,2.5,Top Left,m,0.69,0.69,correct,FALSE,0.501152,10.45108603,high,0.369602246,low,13.5879752,13.63761844,0.633729766,medium,0.711391657,high,0.578822,medium,0.878454,high
1,59,"6,7",6,7,1.5,Bottom Left,l,0.8,0.8,correct,FALSE,0.140702,9.368791299,medium,0.253334812,low,10.28533586,20.54707722,0.498136795,medium,0.82694999,high,0.31958,low,0.609008,medium
1,60,"2,5",2,5,5.315072906,Top Left,m,0.71,0.71,correct,FALSE,0.499479,9.882301288,medium,0.348527167,low,11.37682503,13.61966925,0.567416182,medium,0.6647829,medium,0.436669,low,0.593175,medium
1,61,"7,13",7,13,4.609772229,Bottom Right,m,0.82,0.82,correct,FALSE,0.500695,8.19808684,low,0.391253477,low,10.44949291,15.81823347,0.604299494,medium,0.829366988,high,0.453987,low,0.412429,low
1,62,"5,11",5,11,2.692582404,Top Right,m,0.66,0.66,correct,FALSE,0.505388,9.302464,medium,0.346448019,low,13.10872389,13.56997065,0.600633214,medium,0.709233661,high,0.456761,low,0.489285,low
1,63,"3,11",3,11,3.905124838,Top Right,h,0.76,0.76,correct,FALSE,0.739741,12.97809717,high,0.57621325,medium,14.39417639,14.49449471,0.702438435,high,0.722998537,high,0.300628,low,0.368617,low
1,64,"5,6",5,6,2.692582404,Top Left,l,0.8,0.8,correct,FALSE,0.137007,11.85409478,high,0.301373005,low,13.55548575,15.32652697,0.575947742,medium,0.785880368,high,0.230773,low,0.809041,high
1,65,"3,2",3,2,7.158910532,Top Left,h,0.85,0.85,correct,FALSE,0.782826,9.207862,medium,0.068957,low,12.8432402,12.83890738,0.405530723,medium,0.554326117,medium,0.766983,high,0.868293,high
1,66,"3,5",3,5,4.609772229,Top Left,h,0.6,0.6,correct,FALSE,0.757983,10.13658799,high,0.1985744,low,11.71430297,13.95804308,0.426211827,medium,0.650370153,medium,0.287501,low,0.371619,low
1,67,"8,11",8,11,3.201562119,Bottom Right,m,did not see,did not see,incorrect,FALSE,0.499336,11.60434128,high,0.365012119,low,14.52275449,13.75396207,0.621860307,medium,0.714992648,high,0.297402,low,0.377662,low
1,68,"7,16",7,16,7.566372975,Bottom Right,m,0.96,0.96,correct,FALSE,0.500357,8.320421817,low,0.28431279,low,12.83948864,11.43907949,0.658612976,medium,0.498369677,medium,0.369187,low,0.296237,low
